Year,VWRETD,VWRETX
"1929-05-23",0.015584,0.015583
"1929-05-24",-0.004595,-0.004888
"1929-05-25",-0.003587,-0.003587
"1929-05-27",-0.032055,-0.032067
"1929-05-28",0.011319,0.011300
"1929-05-29",0.001251,0.000958
"1929-05-31",0.005960,0.004620
"1929-06-01",0.006239,0.006239
"1929-06-03",0.012999,0.012896
"1929-06-04",0.014215,0.014113
"1929-06-05",-0.002690,-0.002713
"1929-06-06",0.002763,0.002756
"1929-06-07",-0.004461,-0.004784
"1929-06-08",-0.003296,-0.003296
"1929-06-10",-0.005097,-0.005213
"1929-06-11",0.004182,0.004083
"1929-06-12",0.000241,0.000100
"1929-06-13",0.012566,0.012343
"1929-06-14",0.003406,0.002957
"1929-06-15",0.003338,0.003338
"1929-06-17",0.012277,0.012225
"1929-06-18",0.001674,0.001526
"1929-06-19",-0.006128,-0.006132
"1929-06-20",0.004343,0.003747
"1929-06-21",0.006929,0.006629
"1929-06-22",0.003483,0.003483
"1929-06-24",-0.001991,-0.002104
"1929-06-25",0.008096,0.008001
"1929-06-26",0.005827,0.005824
"1929-06-27",0.000593,0.000584
"1929-06-28",0.009239,0.008797
"1929-06-29",0.008465,0.008465
"1929-07-01",0.003824,0.003691
"1929-07-02",0.011225,0.011224
"1929-07-03",0.003173,0.003168
"1929-07-05",0.004913,0.004795
"1929-07-06",0.001812,0.001812
"1929-07-08",0.000469,0.000441
"1929-07-09",0.001080,0.001040
"1929-07-10",-0.003102,-0.003122
"1929-07-11",0.002558,0.002456
"1929-07-12",0.009241,0.008807
"1929-07-13",0.004300,0.004300
"1929-07-15",-0.004456,-0.004723
"1929-07-16",0.004613,0.004607
"1929-07-17",0.002928,0.002905
"1929-07-18",-0.001134,-0.001183
"1929-07-19",0.003310,0.003056
"1929-07-20",0.001577,0.001577
"1929-07-22",-0.011482,-0.011482
"1929-07-23",0.010417,0.010415
"1929-07-24",-0.005148,-0.005218
"1929-07-25",0.005258,0.005253
"1929-07-26",-0.004056,-0.004157
"1929-07-27",-0.004225,-0.004225
"1929-07-29",-0.011460,-0.011460
"1929-07-30",0.009127,0.009127
"1929-07-31",0.010840,0.010742
"1929-08-01",0.008133,0.007913
"1929-08-02",0.009072,0.009033
"1929-08-03",0.005843,0.005843
"1929-08-05",-0.006064,-0.006091
"1929-08-06",-0.004402,-0.004429
"1929-08-07",-0.010026,-0.010026
"1929-08-08",0.009281,0.009281
"1929-08-09",-0.035943,-0.036278
"1929-08-10",0.016319,0.016319
"1929-08-12",0.014823,0.014776
"1929-08-13",0.006870,0.006870
"1929-08-14",0.001395,0.001389
"1929-08-15",0.003104,0.002768
"1929-08-16",0.017863,0.017291
"1929-08-17",0.002718,0.002718
"1929-08-19",0.005004,0.004998
"1929-08-20",0.003405,0.003343
"1929-08-21",-0.003643,-0.003715
"1929-08-22",0.008423,0.008264
"1929-08-23",0.009370,0.009336
"1929-08-24",0.002388,0.002388
"1929-08-26",-0.000158,-0.000234
"1929-08-27",-0.000740,-0.000753
"1929-08-28",-0.000026,-0.000174
"1929-08-29",0.008430,0.007957
"1929-08-30",0.010855,0.010290
"1929-09-03",0.003740,0.003587
"1929-09-04",-0.005349,-0.005475
"1929-09-05",-0.018895,-0.018928
"1929-09-06",0.020616,0.020264
"1929-09-07",0.003280,0.003280
"1929-09-09",-0.005819,-0.005839
"1929-09-10",-0.017014,-0.017104
"1929-09-11",0.012190,0.012108
"1929-09-12",-0.009747,-0.009876
"1929-09-13",0.002631,0.002356
"1929-09-14",0.002807,0.002807
"1929-09-16",0.010157,0.010043
"1929-09-17",-0.006089,-0.006095
"1929-09-18",0.004555,0.004308
"1929-09-19",0.000723,0.000692
"1929-09-20",-0.008555,-0.009204
"1929-09-21",-0.000935,-0.000935
"1929-09-23",-0.002622,-0.002679
"1929-09-24",-0.014938,-0.014962
"1929-09-25",-0.001575,-0.001658
"1929-09-26",0.009906,0.009903
"1929-09-27",-0.024407,-0.024577
"1929-09-28",0.003380,0.003380
"1929-09-30",-0.007834,-0.008026
"1929-10-01",-0.006815,-0.006875
"1929-10-02",0.007485,0.007484
"1929-10-03",-0.036509,-0.036599
"1929-10-04",-0.012533,-0.012618
"1929-10-05",0.039160,0.039160
"1929-10-07",0.017689,0.017632
"1929-10-08",-0.000039,-0.000101
"1929-10-09",-0.001796,-0.001830
"1929-10-10",0.014112,0.014068
"1929-10-11",-0.001345,-0.001648
"1929-10-14",-0.004967,-0.005041
"1929-10-15",-0.006746,-0.006985
"1929-10-16",-0.030155,-0.030162
"1929-10-17",0.010326,0.010252
"1929-10-18",-0.022871,-0.023025
"1929-10-19",-0.027699,-0.027699
"1929-10-21",-0.013333,-0.013349
"1929-10-22",0.020043,0.020043
"1929-10-23",-0.056369,-0.056370
"1929-10-24",-0.038376,-0.038436
"1929-10-25",0.015773,0.015699
"1929-10-26",-0.003152,-0.003152
"1929-10-28",-0.113022,-0.113025
"1929-10-29",-0.119539,-0.119539
"1929-10-30",0.122155,0.122155
"1929-10-31",0.060861,0.060330
"1929-11-04",-0.042643,-0.042731
"1929-11-06",-0.097020,-0.097055
"1929-11-07",0.022295,0.022253
"1929-11-08",-0.000044,-0.000430
"1929-11-11",-0.055455,-0.055700
"1929-11-12",-0.058916,-0.058966
"1929-11-13",-0.055768,-0.055768
"1929-11-14",0.078927,0.078871
"1929-11-15",0.061640,0.060664
"1929-11-18",-0.011641,-0.011670
"1929-11-19",0.026009,0.026009
"1929-11-20",0.024304,0.024179
"1929-11-21",0.021483,0.021420
"1929-11-22",-0.004543,-0.005383
"1929-11-25",-0.011112,-0.011241
"1929-11-26",-0.022456,-0.022499
"1929-11-27",0.010248,0.008493
"1929-12-02",0.000378,-0.000135
"1929-12-03",0.027641,0.027604
"1929-12-04",0.018291,0.018055
"1929-12-05",-0.003984,-0.004096
"1929-12-06",0.020133,0.019643
"1929-12-07",0.010820,0.010820
"1929-12-09",-0.009318,-0.009403
"1929-12-10",0.003597,0.003505
"1929-12-11",-0.004998,-0.005131
"1929-12-12",-0.049070,-0.049302
"1929-12-13",0.019399,0.018585
"1929-12-14",0.012211,0.012211
"1929-12-16",-0.023548,-0.023956
"1929-12-17",0.006089,0.006064
"1929-12-18",-0.005207,-0.005454
"1929-12-19",-0.023910,-0.023942
"1929-12-20",-0.032194,-0.033202
"1929-12-21",0.016122,0.016122
"1929-12-23",-0.013226,-0.013278
"1929-12-24",0.004324,0.004249
"1929-12-26",0.020939,0.020610
"1929-12-27",-0.002322,-0.002327
"1929-12-28",-0.007265,-0.007265
"1929-12-30",0.007415,0.007339
"1929-12-31",0.027112,0.026559
"1930-01-02",-0.009598,-0.009712
"1930-01-03",0.006026,0.005866
"1930-01-04",0.007130,0.007130
"1930-01-06",0.000404,0.000398
"1930-01-07",-0.006666,-0.006689
"1930-01-08",-0.000457,-0.000457
"1930-01-09",0.012818,0.012818
"1930-01-10",-0.002125,-0.002508
"1930-01-11",-0.004752,-0.004752
"1930-01-13",0.003024,0.003020
"1930-01-14",0.001679,0.001670
"1930-01-15",0.002282,0.001855
"1930-01-16",-0.005937,-0.006071
"1930-01-17",-0.007800,-0.008178
"1930-01-18",0.002230,0.002230
"1930-01-20",0.002616,0.002433
"1930-01-21",0.006109,0.006099
"1930-01-22",0.001328,0.001328
"1930-01-23",0.009504,0.009502
"1930-01-24",0.006944,0.006755
"1930-01-25",0.007176,0.007176
"1930-01-27",0.003156,0.003156
"1930-01-28",-0.005134,-0.005145
"1930-01-29",0.010077,0.010077
"1930-01-30",0.002478,0.002470
"1930-01-31",0.013819,0.013299
"1930-02-01",0.007838,0.007838
"1930-02-03",-0.005726,-0.005735
"1930-02-04",0.007795,0.007734
"1930-02-05",0.010581,0.010556
"1930-02-06",-0.007770,-0.007770
"1930-02-07",-0.001741,-0.001997
"1930-02-08",0.008536,0.008536
"1930-02-10",-0.000754,-0.001213
"1930-02-11",0.005175,0.005133
"1930-02-13",0.001716,0.001704
"1930-02-14",0.000829,-0.000361
"1930-02-15",-0.007920,-0.007920
"1930-02-17",0.005661,0.005647
"1930-02-18",0.002270,0.002236
"1930-02-19",-0.006759,-0.006771
"1930-02-20",-0.018881,-0.019032
"1930-02-21",0.011382,0.011369
"1930-02-24",-0.008827,-0.008921
"1930-02-25",-0.000029,-0.000037
"1930-02-26",0.016105,0.016086
"1930-02-27",0.002958,0.002551
"1930-02-28",0.005634,0.004608
"1930-03-01",0.006370,0.006370
"1930-03-03",-0.001371,-0.001579
"1930-03-04",0.005116,0.005022
"1930-03-05",-0.006772,-0.006805
"1930-03-06",0.008377,0.008280
"1930-03-07",0.001235,0.000637
"1930-03-08",0.001448,0.001448
"1930-03-10",0.004413,0.004175
"1930-03-11",0.001854,0.001662
"1930-03-12",-0.008076,-0.008186
"1930-03-13",0.004350,0.004126
"1930-03-14",-0.006826,-0.007969
"1930-03-15",-0.004577,-0.004577
"1930-03-17",0.012839,0.012772
"1930-03-18",0.009799,0.009649
"1930-03-19",0.003779,0.003771
"1930-03-20",0.005289,0.004952
"1930-03-21",0.005646,0.005514
"1930-03-22",-0.008402,-0.008402
"1930-03-24",0.009737,0.009736
"1930-03-25",0.000277,0.000252
"1930-03-26",0.009928,0.009924
"1930-03-27",-0.001635,-0.001635
"1930-03-28",0.008737,0.008566
"1930-03-29",0.008332,0.008332
"1930-03-31",0.003069,0.002920
"1930-04-01",0.007509,0.007281
"1930-04-02",-0.009660,-0.009694
"1930-04-03",0.003016,0.002991
"1930-04-04",0.010545,0.010437
"1930-04-05",0.004955,0.004955
"1930-04-07",-0.000210,-0.000243
"1930-04-08",-0.006294,-0.006351
"1930-04-09",0.012792,0.012792
"1930-04-10",0.000427,0.000308
"1930-04-11",-0.003551,-0.003853
"1930-04-12",0.000127,0.000127
"1930-04-14",-0.002536,-0.002603
"1930-04-15",-0.000158,-0.000278
"1930-04-16",-0.007162,-0.007220
"1930-04-17",0.005075,0.004708
"1930-04-21",-0.015165,-0.015330
"1930-04-22",0.004522,0.004522
"1930-04-23",0.003574,0.003574
"1930-04-24",-0.008208,-0.008221
"1930-04-25",-0.002141,-0.002277
"1930-04-26",0.000160,0.000160
"1930-04-28",-0.021062,-0.021062
"1930-04-29",-0.004537,-0.004549
"1930-04-30",0.007755,0.007698
"1930-05-01",-0.019202,-0.019525
"1930-05-02",-0.024812,-0.024916
"1930-05-03",-0.031555,-0.031555
"1930-05-05",-0.001694,-0.001791
"1930-05-06",0.031604,0.031601
"1930-05-07",-0.009224,-0.009224
"1930-05-08",0.002800,0.002800
"1930-05-09",0.009988,0.008880
"1930-05-10",0.013957,0.013957
"1930-05-12",-0.000362,-0.000444
"1930-05-13",0.010057,0.010057
"1930-05-14",0.005916,0.005913
"1930-05-15",-0.012428,-0.012895
"1930-05-16",0.005149,0.004917
"1930-05-17",0.000422,0.000405
"1930-05-19",-0.018171,-0.018191
"1930-05-20",0.001302,0.001213
"1930-05-21",-0.003173,-0.003207
"1930-05-22",0.001665,0.001662
"1930-05-23",0.009884,0.009845
"1930-05-24",0.005940,0.005940
"1930-05-26",0.001384,0.001296
"1930-05-27",0.000718,0.000716
"1930-05-28",0.003497,0.003479
"1930-05-29",0.004852,0.003868
"1930-06-02",-0.001657,-0.002071
"1930-06-03",-0.008176,-0.008225
"1930-06-04",0.002895,0.002772
"1930-06-05",-0.013784,-0.013898
"1930-06-06",-0.014505,-0.014753
"1930-06-07",-0.017986,-0.017986
"1930-06-09",-0.029602,-0.029712
"1930-06-10",0.021364,0.021207
"1930-06-11",-0.031648,-0.031841
"1930-06-12",-0.004927,-0.005285
"1930-06-13",0.007175,0.006748
"1930-06-14",-0.017453,-0.017453
"1930-06-16",-0.053791,-0.053905
"1930-06-17",-0.002221,-0.002314
"1930-06-18",-0.033751,-0.033925
"1930-06-19",0.042975,0.042925
"1930-06-20",-0.017398,-0.018771
"1930-06-21",-0.025877,-0.025877
"1930-06-23",0.013274,0.013245
"1930-06-24",-0.025833,-0.025960
"1930-06-25",0.001214,0.001169
"1930-06-26",0.022231,0.022227
"1930-06-27",-0.008670,-0.008877
"1930-06-28",0.003292,0.003292
"1930-06-30",0.025055,0.024692
"1930-07-01",-0.006812,-0.007146
"1930-07-02",0.008650,0.008571
"1930-07-03",-0.009135,-0.009255
"1930-07-07",-0.017219,-0.017309
"1930-07-08",0.003655,0.003650
"1930-07-09",0.013664,0.013660
"1930-07-10",0.021231,0.021123
"1930-07-11",-0.008841,-0.009131
"1930-07-12",0.015334,0.015334
"1930-07-14",0.018868,0.018863
"1930-07-15",0.004696,0.004375
"1930-07-16",0.006956,0.006878
"1930-07-17",0.005995,0.005920
"1930-07-18",0.007139,0.006761
"1930-07-19",-0.007971,-0.007971
"1930-07-21",-0.025573,-0.025638
"1930-07-22",0.014571,0.014571
"1930-07-23",0.013982,0.013982
"1930-07-24",-0.009887,-0.009987
"1930-07-25",0.004898,0.004702
"1930-07-26",0.009129,0.009129
"1930-07-28",0.003369,0.003354
"1930-07-29",-0.007563,-0.007564
"1930-07-30",-0.022923,-0.022934
"1930-07-31",0.005300,0.005203
"1930-08-01",-0.004451,-0.004749
"1930-08-02",0.004271,0.004271
"1930-08-04",0.012993,0.012837
"1930-08-05",-0.001117,-0.001152
"1930-08-06",-0.013572,-0.013572
"1930-08-07",-0.007249,-0.007249
"1930-08-08",-0.037323,-0.037806
"1930-08-09",-0.001733,-0.001733
"1930-08-11",0.008126,0.008103
"1930-08-12",-0.022492,-0.022492
"1930-08-13",0.008476,0.008473
"1930-08-14",0.003279,0.003270
"1930-08-15",0.021356,0.019446
"1930-08-16",0.000473,0.000473
"1930-08-18",-0.003925,-0.003928
"1930-08-19",0.007879,0.007822
"1930-08-20",0.005411,0.005325
"1930-08-21",-0.006065,-0.006097
"1930-08-22",0.001607,0.001521
"1930-08-23",0.005157,0.005157
"1930-08-25",-0.007822,-0.008012
"1930-08-26",0.011678,0.011661
"1930-08-27",0.005740,0.005740
"1930-08-28",-0.001174,-0.001453
"1930-08-29",0.014305,0.013565
"1930-09-02",0.000624,0.000084
"1930-09-03",-0.008999,-0.009081
"1930-09-04",-0.005666,-0.005767
"1930-09-05",0.012913,0.012545
"1930-09-06",0.012183,0.012183
"1930-09-08",0.001169,0.000997
"1930-09-09",0.004386,0.004322
"1930-09-10",0.004276,0.004195
"1930-09-11",-0.009290,-0.009428
"1930-09-12",-0.004298,-0.004795
"1930-09-13",-0.001313,-0.001313
"1930-09-15",-0.012032,-0.012331
"1930-09-16",0.001744,0.001680
"1930-09-17",0.002855,0.002753
"1930-09-18",-0.011063,-0.011215
"1930-09-19",-0.015935,-0.017259
"1930-09-20",0.002670,0.002670
"1930-09-22",-0.025448,-0.025507
"1930-09-23",0.009040,0.009026
"1930-09-24",-0.014734,-0.014751
"1930-09-25",-0.019796,-0.019834
"1930-09-26",-0.014879,-0.015082
"1930-09-27",-0.006433,-0.006433
"1930-09-29",-0.020436,-0.020436
"1930-09-30",-0.015029,-0.015483
"1930-10-01",0.038408,0.038231
"1930-10-02",-0.010532,-0.010558
"1930-10-03",0.012878,0.012723
"1930-10-04",-0.008638,-0.008638
"1930-10-06",-0.028943,-0.028954
"1930-10-07",-0.001899,-0.001904
"1930-10-08",-0.009827,-0.009829
"1930-10-09",-0.038986,-0.038986
"1930-10-10",0.018838,0.018481
"1930-10-11",-0.020785,-0.020785
"1930-10-14",0.009205,0.009193
"1930-10-15",0.017692,0.017433
"1930-10-16",-0.013927,-0.013986
"1930-10-17",-0.036316,-0.036551
"1930-10-18",-0.011412,-0.011412
"1930-10-20",0.028703,0.028373
"1930-10-21",-0.023954,-0.023965
"1930-10-22",-0.008108,-0.008113
"1930-10-23",0.009296,0.009271
"1930-10-24",0.028194,0.027977
"1930-10-25",-0.001598,-0.001598
"1930-10-27",0.004710,0.004710
"1930-10-28",0.006189,0.006189
"1930-10-29",-0.012635,-0.012635
"1930-10-30",-0.011332,-0.011607
"1930-10-31",-0.020079,-0.020621
"1930-11-01",0.002697,0.002697
"1930-11-03",0.003178,0.003013
"1930-11-05",-0.025950,-0.025975
"1930-11-06",-0.000141,-0.000141
"1930-11-07",-0.032607,-0.032690
"1930-11-08",-0.011754,-0.011754
"1930-11-10",-0.019131,-0.019493
"1930-11-11",0.009668,0.009668
"1930-11-12",0.016712,0.016708
"1930-11-13",0.023922,0.023922
"1930-11-14",0.024512,0.022527
"1930-11-15",0.009989,0.009989
"1930-11-17",-0.028099,-0.028175
"1930-11-18",0.006738,0.006665
"1930-11-19",0.018988,0.018986
"1930-11-20",-0.001865,-0.002004
"1930-11-21",0.013238,0.013176
"1930-11-22",-0.009548,-0.009548
"1930-11-24",0.001792,0.001792
"1930-11-25",-0.010779,-0.010790
"1930-11-26",-0.013678,-0.013945
"1930-11-28",-0.011941,-0.012686
"1930-11-29",0.009701,0.009701
"1930-12-01",0.011978,0.011049
"1930-12-02",0.007803,0.007803
"1930-12-03",-0.012643,-0.012779
"1930-12-04",-0.015795,-0.015924
"1930-12-05",0.000884,0.000167
"1930-12-06",-0.010410,-0.010410
"1930-12-08",-0.014642,-0.014950
"1930-12-09",-0.001216,-0.001291
"1930-12-10",-0.017043,-0.017145
"1930-12-11",-0.009713,-0.009981
"1930-12-12",-0.011016,-0.011571
"1930-12-13",-0.025277,-0.025277
"1930-12-15",-0.006343,-0.006713
"1930-12-16",-0.031842,-0.031956
"1930-12-17",0.038389,0.038267
"1930-12-18",0.011882,0.011643
"1930-12-19",0.013546,0.011698
"1930-12-20",0.001080,0.001080
"1930-12-22",-0.030488,-0.030525
"1930-12-23",0.003406,0.003326
"1930-12-24",0.011866,0.011808
"1930-12-26",-0.018362,-0.018783
"1930-12-27",-0.007305,-0.007305
"1930-12-29",-0.002239,-0.002242
"1930-12-30",0.019905,0.019797
"1930-12-31",0.016565,0.015938
"1931-01-02",0.035211,0.035018
"1931-01-03",0.018107,0.018107
"1931-01-05",-0.007872,-0.008127
"1931-01-06",0.014987,0.014983
"1931-01-07",0.000974,0.000974
"1931-01-08",0.006505,0.006448
"1931-01-09",-0.005445,-0.005744
"1931-01-10",0.004264,0.004264
"1931-01-12",-0.016992,-0.017025
"1931-01-13",-0.011009,-0.011009
"1931-01-14",0.006571,0.006559
"1931-01-15",-0.020031,-0.020513
"1931-01-16",0.011857,0.011643
"1931-01-17",-0.004185,-0.004185
"1931-01-19",-0.005718,-0.005851
"1931-01-20",0.019329,0.019014
"1931-01-21",0.000716,0.000701
"1931-01-22",0.016974,0.016897
"1931-01-23",0.017660,0.017501
"1931-01-24",-0.007263,-0.007263
"1931-01-26",0.006678,0.006649
"1931-01-27",-0.004301,-0.004301
"1931-01-28",-0.019178,-0.019255
"1931-01-29",0.010557,0.010554
"1931-01-30",0.002291,0.002034
"1931-01-31",-0.005806,-0.005806
"1931-02-02",0.003245,0.002862
"1931-02-03",0.003809,0.003786
"1931-02-04",0.004630,0.004630
"1931-02-05",-0.006048,-0.006059
"1931-02-06",0.003240,0.002760
"1931-02-07",0.013266,0.013266
"1931-02-09",0.024392,0.024226
"1931-02-10",0.014890,0.014504
"1931-02-11",0.005370,0.005367
"1931-02-13",-0.002320,-0.003340
"1931-02-14",-0.001574,-0.001574
"1931-02-16",0.012523,0.011878
"1931-02-17",-0.014541,-0.014543
"1931-02-18",0.007084,0.007045
"1931-02-19",0.012076,0.012076
"1931-02-20",0.014023,0.013648
"1931-02-21",0.012797,0.012797
"1931-02-24",0.011961,0.011797
"1931-02-25",-0.010250,-0.010261
"1931-02-26",0.008412,0.008139
"1931-02-27",-0.005348,-0.006001
"1931-02-28",-0.005869,-0.005869
"1931-03-02",-0.019298,-0.019954
"1931-03-03",-0.002745,-0.002745
"1931-03-04",-0.009964,-0.010099
"1931-03-05",0.016514,0.016335
"1931-03-06",-0.017254,-0.017678
"1931-03-07",0.015999,0.015999
"1931-03-09",0.005184,0.005043
"1931-03-10",-0.001013,-0.001166
"1931-03-11",-0.011545,-0.011682
"1931-03-12",-0.005169,-0.005520
"1931-03-13",-0.005423,-0.006976
"1931-03-14",0.012204,0.012204
"1931-03-16",0.011915,0.011731
"1931-03-17",-0.009770,-0.009869
"1931-03-18",0.010847,0.010596
"1931-03-19",0.010638,0.010619
"1931-03-20",0.002677,0.002080
"1931-03-21",-0.007239,-0.007239
"1931-03-23",-0.005447,-0.005459
"1931-03-24",0.007733,0.007733
"1931-03-25",-0.004449,-0.004461
"1931-03-26",-0.012220,-0.012235
"1931-03-27",-0.016723,-0.016760
"1931-03-28",-0.019214,-0.019214
"1931-03-30",-0.011071,-0.011073
"1931-03-31",0.002237,0.001952
"1931-04-01",-0.010464,-0.010612
"1931-04-02",-0.009741,-0.009841
"1931-04-04",0.017678,0.017678
"1931-04-06",-0.007938,-0.008038
"1931-04-07",-0.012054,-0.012143
"1931-04-08",0.010482,0.010415
"1931-04-09",-0.003585,-0.003609
"1931-04-10",0.001482,0.001325
"1931-04-11",0.000780,0.000780
"1931-04-13",0.011342,0.011342
"1931-04-14",-0.010166,-0.010200
"1931-04-15",-0.018482,-0.018646
"1931-04-16",-0.010232,-0.010245
"1931-04-17",-0.015230,-0.015564
"1931-04-18",0.007232,0.007232
"1931-04-20",0.003201,0.002739
"1931-04-21",-0.023108,-0.023113
"1931-04-22",-0.019705,-0.019708
"1931-04-23",0.000506,0.000294
"1931-04-24",-0.001271,-0.001521
"1931-04-25",-0.018547,-0.018547
"1931-04-27",-0.014291,-0.014291
"1931-04-28",-0.007196,-0.007196
"1931-04-29",-0.018901,-0.018912
"1931-04-30",0.045662,0.045591
"1931-05-01",-0.023049,-0.023548
"1931-05-02",0.007743,0.007743
"1931-05-04",0.017196,0.017155
"1931-05-05",-0.010291,-0.010303
"1931-05-06",0.003714,0.003680
"1931-05-07",-0.003354,-0.003355
"1931-05-08",0.027361,0.026739
"1931-05-09",-0.011631,-0.011631
"1931-05-11",-0.000552,-0.000590
"1931-05-12",-0.009552,-0.009835
"1931-05-13",-0.003081,-0.003081
"1931-05-14",-0.021817,-0.021849
"1931-05-15",-0.011606,-0.013539
"1931-05-16",-0.005921,-0.005921
"1931-05-18",-0.032864,-0.032879
"1931-05-19",-0.003430,-0.003435
"1931-05-20",-0.004599,-0.004706
"1931-05-21",0.009537,0.009513
"1931-05-22",0.003756,0.003727
"1931-05-23",-0.009529,-0.009529
"1931-05-25",-0.029208,-0.029222
"1931-05-26",-0.002324,-0.002324
"1931-05-27",-0.013566,-0.013566
"1931-05-28",0.005208,0.004704
"1931-05-29",-0.019996,-0.020564
"1931-06-01",-0.043473,-0.044642
"1931-06-02",-0.013657,-0.013837
"1931-06-03",0.065160,0.065037
"1931-06-04",0.034185,0.034185
"1931-06-05",-0.004457,-0.005066
"1931-06-06",-0.022870,-0.022870
"1931-06-08",0.029135,0.028921
"1931-06-09",-0.013136,-0.013156
"1931-06-10",0.021499,0.021317
"1931-06-11",0.004973,0.004779
"1931-06-12",0.003716,0.003296
"1931-06-13",-0.001464,-0.001464
"1931-06-15",-0.005716,-0.006043
"1931-06-16",0.000891,0.000791
"1931-06-17",-0.008912,-0.008957
"1931-06-18",-0.016571,-0.016938
"1931-06-19",-0.003074,-0.004775
"1931-06-20",0.050985,0.050985
"1931-06-22",0.040761,0.040695
"1931-06-23",-0.009553,-0.009555
"1931-06-24",0.042106,0.042079
"1931-06-25",-0.005622,-0.005680
"1931-06-26",0.025787,0.025312
"1931-06-27",0.009876,0.009876
